Generation number, Milliseconds from start, Fitness
0,37934288,421005
1,37934372,424074
2,37934437,424074
3,37934496,424074
4,37934555,424074
5,37934607,424074
6,37934660,424074
7,37934720,424074
8,37934768,424074
9,37934812,425705
10,37934857,427789
11,37934903,439750
12,37934952,439750
13,37934997,439750
14,37935044,440021
15,37935112,440021
16,37935158,440021
17,37935202,440021
18,37935246,440021
19,37935297,440021
20,37935345,441762
21,37935395,443058
22,37935438,443058
23,37935486,453635
24,37935535,453635
25,37935582,453635
26,37935629,453635
27,37935678,453635
28,37935727,453635
29,37935772,453635
30,37935821,453635
31,37935870,453635
32,37935915,453635
33,37935964,453635
34,37936010,457780
35,37936059,457780
36,37936105,457780
37,37936153,457780
38,37936204,457780
39,37936253,457780
40,37936304,457780
41,37936352,457780
42,37936400,457780
43,37936447,457780
44,37936501,457780
45,37936545,457780
46,37936594,457780
47,37936641,457780
48,37936689,457780
49,37936735,457780
50,37936782,457780
51,37936828,457780
52,37936872,457780
53,37936919,457780
54,37936963,457780
55,37937008,457780
56,37937059,459276
57,37937122,459276
58,37937169,459276
59,37937215,459276
60,37937261,459276
61,37937307,463549
62,37937353,465057
63,37937401,465057
64,37937451,465057
65,37937503,465057
66,37937551,465057
67,37937598,465057
68,37937648,465057
69,37937693,465057
70,37937743,465057
71,37937792,465057
72,37937837,465057
73,37937887,465057
74,37937936,465057
75,37937986,465057
76,37938036,478686
77,37938087,478686
78,37938134,478686
79,37938177,479501
80,37938231,479501
81,37938280,479501
82,37938330,479501
83,37938380,479501
84,37938425,479501
85,37938472,479501
86,37938519,479501
87,37938568,479501
88,37938613,479501
89,37938668,479501
90,37938714,479501
91,37938758,479501
92,37938806,479501
93,37938853,479501
94,37938898,479501
95,37938944,479501
96,37938990,479501
97,37939037,479501
98,37939083,479501
99,37939143,479501
100,37939186,479501
101,37939231,479501
102,37939275,479501
103,37939324,479501
104,37939369,479501
105,37939419,479501
106,37939465,479501
107,37939513,479501
108,37939567,479501
109,37939613,479501
110,37939666,479501
111,37939712,479501
112,37939759,479501
113,37939812,479501
114,37939856,479501
115,37939902,479501
116,37939944,479501
117,37939988,479501
118,37940041,479501
